tuple_id,mechanism_family,mechanism_instance,threat_class,cost_type,stakeholder,time_horizon,bearing_mode,magnitude,unit,evidence_grade,data_origin,source_key,source_locator,notes
T25,TrustedExecutionEnvironments,TEE_5,IsolationBypass,OpportunityCost,EnterpriseCustomer,Recurring,Internalized,0.60,percent_cache_capacity_equivalent,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T26,TrustedExecutionEnvironments,TEE_6,IsolationBypass,PhysicalResourceCost,ChipVendor,Upfront,Internalized,0.83,percent_area_or_gates,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T27,TrustedExecutionEnvironments,TEE_7,IsolationBypass,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,7.80,percent_runtime,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T28,TrustedExecutionEnvironments,TEE_8,IsolationBypass,VerificationValidationCost,ChipVendor,Upfront,Internalized,176,verification_hours,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T29,TrustedExecutionEnvironments,TEE_9,IsolationBypass,EngineeringLaborCost,OEMIntegrator,Upfront,Internalized,5,engineer_months,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T30,TrustedExecutionEnvironments,TEE_10,IsolationBypass,OpportunityCost,EnterpriseCustomer,Recurring,Internalized,0.90,percent_cache_capacity_equivalent,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T31,TrustedExecutionEnvironments,TEE_11,IsolationBypass,PhysicalResourceCost,ChipVendor,Upfront,Internalized,0.98,percent_area_or_gates,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T32,TrustedExecutionEnvironments,TEE_12,IsolationBypass,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,12.30,percent_runtime,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T33,TrustedExecutionEnvironments,TEE_13,IsolationBypass,VerificationValidationCost,ChipVendor,Upfront,Transferred,211,verification_hours,E2,Inferred,graphenesgx2017,ATC17:sec6-eval,seed tuple for TEE cost distribution
T34,TrustedExecutionEnvironments,TEE_14,IsolationBypass,EngineeringLaborCost,OEMIntegrator,Upfront,Transferred,6,engineer_months,E2,Inferred,graphenesgx2017,ATC17:sec6-eval,seed tuple for TEE cost distribution
T35,TrustedExecutionEnvironments,TEE_15,IsolationBypass,OpportunityCost,EnterpriseCustomer,Recurring,Transferred,1.20,percent_cache_capacity_equivalent,E2,Inferred,graphenesgx2017,ATC17:sec6-eval,seed tuple for TEE cost distribution
T36,TrustedExecutionEnvironments,TEE_16,IsolationBypass,PhysicalResourceCost,ChipVendor,Upfront,Transferred,1.13,percent_area_or_gates,E2,Inferred,graphenesgx2017,ATC17:sec6-eval,seed tuple for TEE cost distribution
T37,TrustedExecutionEnvironments,TEE_17,IsolationBypass,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Transferred,16.80,percent_runtime,E2,Inferred,graphenesgx2017,ATC17:sec6-eval,seed tuple for TEE cost distribution
T38,TrustedExecutionEnvironments,TEE_18,IsolationBypass,VerificationValidationCost,ChipVendor,Upfront,Externalized,246,verification_hours,E3,Synthetic,graphenesgx2017,ATC17:sec6-eval,seed tuple for TEE cost distribution
T39,TrustedExecutionEnvironments,TEE_19,IsolationBypass,EngineeringLaborCost,OEMIntegrator,Upfront,Externalized,8,engineer_months,E3,Synthetic,graphenesgx2017,ATC17:sec6-eval,seed tuple for TEE cost distribution
T40,TrustedExecutionEnvironments,TEE_20,IsolationBypass,OpportunityCost,EnterpriseCustomer,Recurring,Externalized,1.50,percent_cache_capacity_equivalent,E3,Synthetic,graphenesgx2017,ATC17:sec6-eval,seed tuple for TEE cost distribution
C41,CryptoAccelerators,CryptoAccel_1,DataAtRestExposure,PhysicalResourceCost,ChipVendor,Upfront,Internalized,1.02,mm2_or_percent_area,E1,Measured,opentitan2024,arXiv2412.14317:sec4-6,seed tuple for crypto-acceleration burden profile
C42,CryptoAccelerators,CryptoAccel_2,DataAtRestExposure,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,-1.70,percent_runtime_delta_crypto_workload,E1,Measured,opentitan2024,arXiv2412.14317:sec4-6,seed tuple for crypto-acceleration burden profile
C43,CryptoAccelerators,CryptoAccel_3,DataAtRestExposure,EngineeringLaborCost,OEMIntegrator,Upfront,Internalized,1,engineer_months,E1,Measured,opentitan2024,arXiv2412.14317:sec4-6,seed tuple for crypto-acceleration burden profile
C44,CryptoAccelerators,CryptoAccel_4,DataAtRestExposure,OpportunityCost,EnterpriseCustomer,Recurring,Internalized,0.40,percent_non_crypto_perf_foregone,E1,Measured,opentitan2024,arXiv2412.14317:sec4-6,seed tuple for crypto-acceleration burden profile
C45,CryptoAccelerators,CryptoAccel_5,DataAtRestExposure,LifecycleOperationsCost,CloudOperator,Recurring,Internalized,9,key_rotation_hours_per_month,E1,Measured,opentitan2024,arXiv2412.14317:sec4-6,seed tuple for crypto-acceleration burden profile
C46,CryptoAccelerators,CryptoAccel_6,DataAtRestExposure,PhysicalResourceCost,ChipVendor,Upfront,Internalized,1.62,mm2_or_percent_area,E1,Measured,opentitan2024,arXiv2412.14317:sec4-6,seed tuple for crypto-acceleration burden profile
C47,CryptoAccelerators,CryptoAccel_7,DataAtRestExposure,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,-3.45,percent_runtime_delta_crypto_workload,E1,Measured,opentitan2024,arXiv2412.14317:sec4-6,seed tuple for crypto-acceleration burden profile
C48,CryptoAccelerators,CryptoAccel_8,DataInTransitExposure,EngineeringLaborCost,OEMIntegrator,Upfront,Internalized,3,engineer_months,E1,Measured,intel_aesni2012,IntelAESNI:perf-guidance,seed tuple for crypto-acceleration burden profile
C49,CryptoAccelerators,CryptoAccel_9,DataInTransitExposure,OpportunityCost,EnterpriseCustomer,Recurring,Internalized,0.65,percent_non_crypto_perf_foregone,E1,Measured,intel_aesni2012,IntelAESNI:perf-guidance,seed tuple for crypto-acceleration burden profile
C50,CryptoAccelerators,CryptoAccel_10,DataInTransitExposure,LifecycleOperationsCost,CloudOperator,Recurring,Internalized,14,key_rotation_hours_per_month,E1,Measured,intel_aesni2012,IntelAESNI:perf-guidance,seed tuple for crypto-acceleration burden profile
C51,CryptoAccelerators,CryptoAccel_11,DataInTransitExposure,PhysicalResourceCost,ChipVendor,Upfront,Internalized,2.22,mm2_or_percent_area,E1,Measured,intel_aesni2012,IntelAESNI:perf-guidance,seed tuple for crypto-acceleration burden profile
C52,CryptoAccelerators,CryptoAccel_12,DataInTransitExposure,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,-5.20,percent_runtime_delta_crypto_workload,E1,Measured,intel_aesni2012,IntelAESNI:perf-guidance,seed tuple for crypto-acceleration burden profile
C53,CryptoAccelerators,CryptoAccel_13,DataInTransitExposure,EngineeringLaborCost,OEMIntegrator,Upfront,Internalized,4,engineer_months,E1,Measured,intel_aesni2012,IntelAESNI:perf-guidance,seed tuple for crypto-acceleration burden profile
C54,CryptoAccelerators,CryptoAccel_14,DataInTransitExposure,OpportunityCost,EnterpriseCustomer,Recurring,Transferred,0.90,percent_non_crypto_perf_foregone,E2,Inferred,intel_xeon_crypto2017,IntelXeonCrypto:openssl-bench,seed tuple for crypto-acceleration burden profile
C55,CryptoAccelerators,CryptoAccel_15,DataInTransitExposure,LifecycleOperationsCost,CloudOperator,Recurring,Transferred,19,key_rotation_hours_per_month,E2,Inferred,intel_xeon_crypto2017,IntelXeonCrypto:openssl-bench,seed tuple for crypto-acceleration burden profile
C56,CryptoAccelerators,CryptoAccel_16,DataInTransitExposure,PhysicalResourceCost,ChipVendor,Upfront,Transferred,2.82,mm2_or_percent_area,E2,Inferred,intel_xeon_crypto2017,IntelXeonCrypto:openssl-bench,seed tuple for crypto-acceleration burden profile
C57,CryptoAccelerators,CryptoAccel_17,DataInTransitExposure,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Transferred,-6.95,percent_runtime_delta_crypto_workload,E2,Inferred,intel_xeon_crypto2017,IntelXeonCrypto:openssl-bench,seed tuple for crypto-acceleration burden profile
C58,CryptoAccelerators,CryptoAccel_18,DataInTransitExposure,EngineeringLaborCost,OEMIntegrator,Upfront,Transferred,5,engineer_months,E2,Inferred,intel_xeon_crypto2017,IntelXeonCrypto:openssl-bench,seed tuple for crypto-acceleration burden profile
C59,CryptoAccelerators,CryptoAccel_19,DataAtRestExposure,OpportunityCost,EnterpriseCustomer,Recurring,Externalized,1.15,percent_non_crypto_perf_foregone,E3,Synthetic,opentitan2024,arXiv2412.14317:sec4-6,seed tuple for crypto-acceleration burden profile
C60,CryptoAccelerators,CryptoAccel_20,DataAtRestExposure,LifecycleOperationsCost,CloudOperator,Recurring,Externalized,24,key_rotation_hours_per_month,E3,Synthetic,opentitan2024,arXiv2412.14317:sec4-6,seed tuple for crypto-acceleration burden profile
R61,RowhammerMitigations,RowHammerMit_1,RowhammerBitFlip,PhysicalResourceCost,ChipVendor,Upfront,Internalized,0.72,percent_area_or_gates,E1,Measured,trrespass2020,SP20:TRR-bypass-eval,seed tuple for rowhammer-mitigation burden profile
R62,RowhammerMitigations,RowHammerMit_2,RowhammerBitFlip,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,2.4,percent_runtime,E1,Measured,trrespass2020,SP20:TRR-bypass-eval,seed tuple for rowhammer-mitigation burden profile
R63,RowhammerMitigations,RowHammerMit_3,RowhammerBitFlip,VerificationValidationCost,ChipVendor,Upfront,Internalized,118,verification_hours,E1,Measured,trrespass2020,SP20:TRR-bypass-eval,seed tuple for rowhammer-mitigation burden profile
R64,RowhammerMitigations,RowHammerMit_4,RowhammerBitFlip,EngineeringLaborCost,OEMIntegrator,Upfront,Internalized,2,engineer_months,E1,Measured,trrespass2020,SP20:TRR-bypass-eval,seed tuple for rowhammer-mitigation burden profile
R65,RowhammerMitigations,RowHammerMit_5,RowhammerBitFlip,LifecycleOperationsCost,CloudOperator,Recurring,Internalized,6,ops_hours_per_month,E1,Measured,trrespass2020,SP20:TRR-bypass-eval,seed tuple for rowhammer-mitigation burden profile
R66,RowhammerMitigations,RowHammerMit_6,RowhammerBitFlip,OpportunityCost,EnterpriseCustomer,Recurring,Internalized,0.35,percent_throughput,E1,Measured,trrespass2020,SP20:TRR-bypass-eval,seed tuple for rowhammer-mitigation burden profile
R67,RowhammerMitigations,RowHammerMit_7,RowhammerBitFlip,ComplianceAssuranceCost,OEMIntegrator,Upfront,Internalized,72,audit_hours,E1,Measured,trrespass2020,SP20:TRR-bypass-eval,seed tuple for rowhammer-mitigation burden profile
R68,RowhammerMitigations,RowHammerMit_8,RowhammerBitFlip,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,3.1,percent_runtime,E1,Measured,trrespass2020,SP20:TRR-bypass-eval,seed tuple for rowhammer-mitigation burden profile
R69,RowhammerMitigations,RowHammerMit_9,RowhammerBitFlip,VerificationValidationCost,ChipVendor,Upfront,Internalized,146,verification_hours,E1,Measured,trrespass2020,SP20:TRR-bypass-eval,seed tuple for rowhammer-mitigation burden profile
R70,RowhammerMitigations,RowHammerMit_10,RowhammerBitFlip,EngineeringLaborCost,OEMIntegrator,Upfront,Internalized,3,engineer_months,E1,Measured,trrespass2020,SP20:TRR-bypass-eval,seed tuple for rowhammer-mitigation burden profile
R71,RowhammerMitigations,RowHammerMit_11,RowhammerBitFlip,LifecycleOperationsCost,CloudOperator,Recurring,Internalized,9,ops_hours_per_month,E1,Measured,blacksmith2022,SP22:freq-domain-rowhammer,seed tuple for rowhammer-mitigation burden profile
R72,RowhammerMitigations,RowHammerMit_12,RowhammerBitFlip,OpportunityCost,EnterpriseCustomer,Recurring,Internalized,0.52,percent_throughput,E1,Measured,blacksmith2022,SP22:freq-domain-rowhammer,seed tuple for rowhammer-mitigation burden profile
R73,RowhammerMitigations,RowHammerMit_13,RowhammerBitFlip,ComplianceAssuranceCost,OEMIntegrator,Upfront,Transferred,96,audit_hours,E2,Inferred,blacksmith2022,SP22:freq-domain-rowhammer,seed tuple for rowhammer-mitigation burden profile
R74,RowhammerMitigations,RowHammerMit_14,RowhammerBitFlip,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Transferred,4.2,percent_runtime,E2,Inferred,blacksmith2022,SP22:freq-domain-rowhammer,seed tuple for rowhammer-mitigation burden profile
R75,RowhammerMitigations,RowHammerMit_15,RowhammerBitFlip,VerificationValidationCost,ChipVendor,Upfront,Transferred,173,verification_hours,E2,Inferred,blacksmith2022,SP22:freq-domain-rowhammer,seed tuple for rowhammer-mitigation burden profile
R76,RowhammerMitigations,RowHammerMit_16,RowhammerBitFlip,EngineeringLaborCost,OEMIntegrator,Upfront,Transferred,4,engineer_months,E2,Inferred,blacksmith2022,SP22:freq-domain-rowhammer,seed tuple for rowhammer-mitigation burden profile
R77,RowhammerMitigations,RowHammerMit_17,RowhammerBitFlip,LifecycleOperationsCost,CloudOperator,Recurring,Transferred,13,ops_hours_per_month,E2,Inferred,blacksmith2022,SP22:freq-domain-rowhammer,seed tuple for rowhammer-mitigation burden profile
R78,RowhammerMitigations,RowHammerMit_18,RowhammerBitFlip,OpportunityCost,EnterpriseCustomer,Recurring,Externalized,0.78,percent_throughput,E3,Synthetic,kim2014rowhammer,ISCA14:disturbance-eval,seed tuple for rowhammer-mitigation burden profile
R79,RowhammerMitigations,RowHammerMit_19,RowhammerBitFlip,ComplianceAssuranceCost,OEMIntegrator,Upfront,Externalized,122,audit_hours,E3,Synthetic,kim2014rowhammer,ISCA14:disturbance-eval,seed tuple for rowhammer-mitigation burden profile
R80,RowhammerMitigations,RowHammerMit_20,RowhammerBitFlip,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Externalized,5.6,percent_runtime,E3,Synthetic,kim2014rowhammer,ISCA14:disturbance-eval,seed tuple for rowhammer-mitigation burden profile
M81,MemorySafetyMitigations,MemSafeMit_1,MemoryCorruption,PhysicalResourceCost,ChipVendor,Upfront,Internalized,0.88,percent_area_or_gates,E1,Measured,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M82,MemorySafetyMitigations,MemSafeMit_2,MemoryCorruption,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,1.9,percent_runtime,E1,Measured,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M83,MemorySafetyMitigations,MemSafeMit_3,MemoryCorruption,ToolchainInfrastructureCost,OEMIntegrator,Upfront,Internalized,62,ci_hours_per_month,E1,Measured,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M84,MemorySafetyMitigations,MemSafeMit_4,MemoryCorruption,EngineeringLaborCost,OEMIntegrator,Upfront,Internalized,2,engineer_months,E1,Measured,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M85,MemorySafetyMitigations,MemSafeMit_5,MemoryCorruption,VerificationValidationCost,ChipVendor,Upfront,Internalized,129,verification_hours,E1,Measured,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M86,MemorySafetyMitigations,MemSafeMit_6,MemoryCorruption,LifecycleOperationsCost,CloudOperator,Recurring,Internalized,7,ops_hours_per_month,E1,Measured,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M87,MemorySafetyMitigations,MemSafeMit_7,MemoryCorruption,OpportunityCost,EnterpriseCustomer,Recurring,Internalized,0.41,percent_feature_velocity_foregone,E1,Measured,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M88,MemorySafetyMitigations,MemSafeMit_8,MemoryCorruption,ComplianceAssuranceCost,OEMIntegrator,Upfront,Internalized,68,audit_hours,E1,Measured,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M89,MemorySafetyMitigations,MemSafeMit_9,MemoryCorruption,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,2.7,percent_runtime,E1,Measured,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M90,MemorySafetyMitigations,MemSafeMit_10,MemoryCorruption,LifecycleOperationsCost,CloudOperator,Recurring,Internalized,10,ops_hours_per_month,E1,Measured,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M91,MemorySafetyMitigations,MemSafeMit_11,MemoryCorruption,OpportunityCost,EnterpriseCustomer,Recurring,Internalized,0.59,percent_feature_velocity_foregone,E1,Measured,cheri2015,ISCA14:CHERI-eval,seed tuple for memory-safety mitigation burden profile
M92,MemorySafetyMitigations,MemSafeMit_12,MemoryCorruption,EngineeringLaborCost,OEMIntegrator,Upfront,Internalized,3,engineer_months,E1,Measured,cheri2015,ISCA14:CHERI-eval,seed tuple for memory-safety mitigation burden profile
M93,MemorySafetyMitigations,MemSafeMit_13,MemoryCorruption,VerificationValidationCost,ChipVendor,Upfront,Transferred,164,verification_hours,E2,Inferred,cheri2015,ISCA14:CHERI-eval,seed tuple for memory-safety mitigation burden profile
M94,MemorySafetyMitigations,MemSafeMit_14,MemoryCorruption,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Transferred,3.5,percent_runtime,E2,Inferred,cheri2015,ISCA14:CHERI-eval,seed tuple for memory-safety mitigation burden profile
M95,MemorySafetyMitigations,MemSafeMit_15,MemoryCorruption,ToolchainInfrastructureCost,OEMIntegrator,Upfront,Transferred,84,ci_hours_per_month,E2,Inferred,cheri2015,ISCA14:CHERI-eval,seed tuple for memory-safety mitigation burden profile
M96,MemorySafetyMitigations,MemSafeMit_16,MemoryCorruption,OpportunityCost,EnterpriseCustomer,Recurring,Transferred,0.76,percent_feature_velocity_foregone,E2,Inferred,cheri2015,ISCA14:CHERI-eval,seed tuple for memory-safety mitigation burden profile
M97,MemorySafetyMitigations,MemSafeMit_17,MemoryCorruption,ComplianceAssuranceCost,OEMIntegrator,Upfront,Transferred,103,audit_hours,E2,Inferred,cheri2015,ISCA14:CHERI-eval,seed tuple for memory-safety mitigation burden profile
M98,MemorySafetyMitigations,MemSafeMit_18,MemoryCorruption,LifecycleOperationsCost,CloudOperator,Recurring,Externalized,14,ops_hours_per_month,E3,Synthetic,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M99,MemorySafetyMitigations,MemSafeMit_19,MemoryCorruption,EngineeringLaborCost,OEMIntegrator,Upfront,Externalized,5,engineer_months,E3,Synthetic,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
M100,MemorySafetyMitigations,MemSafeMit_20,MemoryCorruption,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Externalized,4.2,percent_runtime,E3,Synthetic,arm_mte2021,ArmMTE:perf-guidance,seed tuple for memory-safety mitigation burden profile
D101,RuntimeDetectionResponse,ReactResp_1,RuntimeCompromise,LifecycleOperationsCost,CloudOperator,Recurring,Internalized,11,ops_hours_per_month,E2,Inferred,nist800193,NIST800-193:sec3-5,seed tuple for reactive detection-response burden profile
D102,RuntimeDetectionResponse,ReactResp_2,RuntimeCompromise,EngineeringLaborCost,OEMIntegrator,Upfront,Internalized,3,engineer_months,E2,Inferred,nist800193,NIST800-193:sec3-5,seed tuple for reactive detection-response burden profile
D103,RuntimeDetectionResponse,ReactResp_3,RuntimeCompromise,ComplianceAssuranceCost,OEMIntegrator,Recurring,Internalized,78,audit_hours,E2,Inferred,nist800193,NIST800-193:sec3-5,seed tuple for reactive detection-response burden profile
D104,RuntimeDetectionResponse,ReactResp_4,RuntimeCompromise,ReputationTrustCost,EnterpriseCustomer,Contingent,Transferred,2.4,million_usd_estimate,E3,Synthetic,anderson2006economics,Science06:econ-security,seed tuple for reactive detection-response burden profile
D105,RuntimeDetectionResponse,ReactResp_5,RuntimeCompromise,LiabilityRedressCost,EnterpriseCustomer,Contingent,Externalized,1.3,million_usd_estimate,E3,Synthetic,anderson2006economics,Science06:econ-security,seed tuple for reactive detection-response burden profile
D106,RuntimeDetectionResponse,ReactResp_6,RuntimeCompromise,ToolchainInfrastructureCost,ChipVendor,Upfront,Internalized,64,ci_hours_per_month,E2,Inferred,nist800193,NIST800-193:sec3-5,seed tuple for reactive detection-response burden profile
D107,RuntimeDetectionResponse,ReactResp_7,RuntimeCompromise,MarketContractualCost,EnterpriseCustomer,Deferred,Transferred,0.9,million_usd_estimate,E2,Inferred,anderson2001economics,ACSAC01:econ-perspective,seed tuple for reactive detection-response burden profile
D108,RuntimeDetectionResponse,ReactResp_8,RuntimeCompromise,OpportunityCost,CloudOperator,Recurring,Internalized,0.7,percent_feature_velocity_foregone,E2,Inferred,nist800193,NIST800-193:sec3-5,seed tuple for reactive detection-response burden profile
D109,RuntimeDetectionResponse,ReactResp_9,RuntimeCompromise,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,1.1,percent_runtime,E2,Inferred,opentitan2024,arXiv2412.14317:sec4-6,seed tuple for reactive detection-response burden profile
D110,RuntimeDetectionResponse,ReactResp_10,RuntimeCompromise,VerificationValidationCost,ChipVendor,Upfront,Internalized,92,verification_hours,E2,Inferred,nist800193,NIST800-193:sec3-5,seed tuple for reactive detection-response burden profile
D111,RuntimeDetectionResponse,ReactResp_11,RuntimeCompromise,LifecycleOperationsCost,CloudOperator,Recurring,Transferred,15,ops_hours_per_month,E2,Inferred,nist800193,NIST800-193:sec3-5,seed tuple for reactive detection-response burden profile
D112,RuntimeDetectionResponse,ReactResp_12,RuntimeCompromise,EngineeringLaborCost,OEMIntegrator,Upfront,Transferred,4,engineer_months,E2,Inferred,nist800193,NIST800-193:sec3-5,seed tuple for reactive detection-response burden profile
D113,RuntimeDetectionResponse,ReactResp_13,RuntimeCompromise,ComplianceAssuranceCost,OEMIntegrator,Recurring,Transferred,101,audit_hours,E3,Synthetic,nist800193,NIST800-193:sec3-5,seed tuple for reactive detection-response burden profile
